(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
7.760528848,0.424827579,5.689468833,0.07698305,991.7881488,18540.00437,16050.21304,0.55420609,6.675607203,5.691697425,6.280533176,7.497533258,8.213391174,5.862991525,9.035635991,7.368810562,3.574951017,7.045121782,3.042112339,6.045818202,2.966258722,4.947847087,1.787079481,5.117808881,1.697468086,I型
0.875271115,0.167704792,2.66492774,0.099603432,2681.974865,15114.94904,11008.13514,0.188108266,6.157621884,5.316064122,6.985418816,6.310060348,7.577226775,5.510179514,8.777641229,7.37283251,3.924192549,7.281481,3.365321043,6.522364832,3.537629864,5.716706928,2.659220429,6.112608048,2.77791048,I型
4.193310212,0.237661195,6.587893124,0.113342807,902.4727618,15372.31385,12787.07544,1.103913199,6.462127511,6.387578974,6.287334747,6.787602209,7.850413151,5.677746762,8.906542223,7.287501075,3.929282596,7.097367463,3.055321769,6.118746415,3.024059655,5.029557584,1.762698282,5.023437865,1.50753926,I型
6.10958786,0.398240523,4.233288077,0.179732819,549.3654172,8659.540467,7591.779729,1.734973501,5.960871338,6.047107826,5.494732781,6.667596394,7.588154052,5.216731957,8.270326364,6.427510131,3.501106681,6.158738204,2.036422891,5.080685843,2.039610852,4.174439311,1.078025728,4.527063181,1.254948507,I型
4.033084889,0.674290096,2.685375501,0.195816866,886.0685735,6814.988982,5397.386045,0.758739963,7.813575862,5.695014434,5.969727693,6.73029916,7.215306117,4.713305831,7.806424853,6.284687186,3.507303026,6.181610279,2.377480385,5.518760473,2.491153557,4.566155121,1.54419637,5.0050937,1.63762302,I型
3.49620439,0.658966216,2.34212601,0.181347679,1181.411741,8071.846133,6370.501059,0.622472141,7.670308053,5.654785733,6.127459231,6.875116564,7.395281037,4.901647086,7.974230419,6.437653135,3.582679486,6.332519826,2.536762834,5.714167374,2.705900639,4.788240308,1.793169373,5.292764749,1.903423991,I型
2.000818206,0.584865467,1.804657052,0.20218022,1522.265966,7097.008829,5170.610001,0.604805633,8.523186742,5.803205987,6.304671221,6.570484722,7.123067916,4.660507587,7.788888994,6.394542685,3.66287826,6.325321211,2.639344002,5.855405522,2.86076643,4.990927891,2.039552852,5.546254627,2.160509175,I型
4.85962124,0.461632429,3.31910125,0.072190534,2103.788209,24682.78721,20845.18767,0.120877576,6.996475634,4.82576438,6.937358485,7.781428659,8.631624778,6.221981538,9.236445814,7.491999746,3.666253169,7.258184311,3.360569325,6.468693305,3.488838796,5.569078065,2.479220736,5.869794263,2.527259083,I型
5.087376361,0.290094576,7.131238546,0.042781056,1347.309423,23666.62804,19602.29216,0.358532453,6.685528297,5.698623968,6.722977161,7.381600362,8.294088592,6.064988131,9.301179491,7.764814267,3.433290371,7.577345156,3.549353464,6.567232745,3.437919775,5.381918708,2.115450649,5.424164218,1.869986983,I型
0.316243852,0.12716549,2.274992314,0.029467082,7571.878959,27412.43186,15452.02385,0.028685894,7.963714888,4.579317088,8.129283961,6.329928098,7.730415436,5.73584529,9.074224909,8.121489212,3.510024165,8.161168566,4.59632252,7.811178022,4.770235375,6.804145078,3.724888562,7.150495883,3.576588644,I型
7.622344413,0.690529538,4.303909134,0.118129702,1835.035434,24704.61673,21348.59218,0.433672465,7.602806196,5.741852703,6.575935515,8.094876309,8.791193031,6.231865365,9.147203682,7.165193145,4.023119938,7.381338146,2.961566799,6.052675774,3.15658693,5.289720213,2.294577315,5.733118426,2.469392611,I型
2.311335626,0.26885933,4.196080344,0.074120388,2667.672658,25217.00734,19124.07941,0.034312634,8.128226329,4.016313033,7.387171776,7.275760509,8.260292958,6.058067688,9.271358324,7.814004512,4.072881447,7.73010791,3.893125003,7.035838751,4.003884791,6.036387034,2.825205566,6.107261063,2.494925914,I型
0.574234145,0.146884083,3.662864741,0.006401681,6494.031418,34429.2352,20380.82066,0.011177972,7.023762648,3.76469001,8.257117333,6.772893995,7.97626298,5.924536295,9.373036392,8.345416769,2.251563176,8.483879713,4.795173379,7.94932836,4.896386661,6.861303492,3.705564289,6.996938146,3.419584895,I型
0.269249898,0.06097619,6.795319002,0.114296294,3152.70405,21176.39672,11438.74849,0.059839568,7.3505046,4.713770565,7.528475821,5.292873702,6.927427102,5.165791832,8.772176361,8.107668656,4.959613376,8.37924515,4.635543233,7.673266218,4.501971389,6.222223532,2.700042423,6.274315148,3.237263338,I型
3.874822456,0.255910418,5.920852689,0.056407726,555.0914823,8074.471712,6606.767155,0.958390627,6.791999307,5.744541393,5.785658318,6.222606028,7.027406242,4.855636904,8.267564694,6.757685135,2.678137247,6.504608772,2.459251865,5.537166301,-6.916643397,4.530547522,1.18591469,4.537432289,1.120327592,I型
5.189625901,0.455463451,2.696957453,0.121606576,1390.423325,17090.69824,15025.60433,0.521287784,7.648468286,5.708216368,6.358286483,7.432998395,8.366363793,5.908535954,8.901469041,7.012232234,3.657660164,6.636483163,2.65838054,5.678491965,2.725479392,4.878293835,1.937902371,5.455662886,2.193139235,I型
6.092783612,0.410662142,3.786306873,0.160948686,646.7085229,10082.16023,8896.818902,1.711321319,7.384502741,6.214856635,5.676207956,6.827973995,7.81415027,5.36376243,8.39998928,6.552873294,3.489937407,6.210282157,2.188376911,5.169702311,2.215735434,4.289385465,1.170647218,4.690195043,1.404681874,I型
5.278030817,0.339344251,4.700535591,0.143388664,916.1704076,14597.93885,12574.76442,1.697331454,7.297491364,6.698842345,6.168402154,7.03272871,8.065765495,5.691756517,8.79549975,7.05756248,3.900221801,6.774874205,2.794512715,5.798687547,2.731951906,4.806253403,1.696740314,5.038501738,1.627825426,I型
6.380328113,0.400436696,4.243455444,0.152428284,626.4988818,10353.14513,9112.054555,1.425354028,7.184526249,6.050467985,5.694664855,6.842339765,7.80120584,5.394569201,8.439570195,6.614466304,3.504326144,6.292520255,2.242444132,5.235299593,2.18833646,4.268976593,1.170647218,4.658446345,1.340143353,I型
5.133694075,0.412507021,5.083066436,0.050840876,1413.058123,19145.14077,15674.3846,0.184783272,7.698400655,5.018880531,6.706069269,7.43831026,8.17388011,5.820937895,9.005843155,7.456186057,3.304061715,7.28642159,3.377912668,6.437683835,3.395304773,5.382325129,2.178492836,5.471810872,2.051523302,I型
0.955352556,0.335214809,1.193342817,0.052117777,8196.327588,29758.71092,20913.47741,0.029066012,9.829681302,4.56352374,8.100326605,7.514739891,8.537778927,6.232626368,9.289754466,7.765666419,3.638074905,7.595195302,3.928334439,7.151558918,4.198008431,6.413068707,3.614708648,7.229740834,3.835621942,I型
3.045175675,0.623082754,2.110780263,0.16683813,1273.712049,7906.283716,6170.504108,0.667232541,7.795968328,5.793323066,6.196556816,6.812222633,7.321647853,4.861445626,7.967329412,6.44608383,3.492953931,6.303743826,2.525514142,5.69980538,2.710014362,4.828305346,1.85961981,5.367990145,2.012556103,I型
9.088223883,0.578411158,3.582568766,0.137250663,641.7683882,11034.7609,9910.907568,1.339459156,6.861258513,5.914678771,5.621029947,7.22018022,7.942242332,5.471849237,8.449681379,6.517623978,3.285909499,6.147302913,2.101931031,5.11894411,2.135794823,4.228727173,1.191153469,4.682526828,1.504979596,I型
2.036638058,0.305643767,2.585486497,0.079250013,3295.65358,24319.03574,19178.08916,0.118167806,7.538261097,5.199758001,7.334024674,7.360633471,8.411840599,6.130711295,9.22799933,7.692725372,3.95966926,7.457268837,3.635289358,6.719797971,3.683740549,5.783378515,2.825867112,6.318659138,2.957509752,I型
3.16873621,0.348754659,2.843443917,0.122473234,1389.817035,13409.67891,11267.63323,0.598217488,8.007934131,5.750964907,6.263382899,6.939233476,7.957398516,5.631602361,8.674650907,6.98225405,3.663439997,6.688938717,2.807069906,5.898968921,2.867441059,4.963823359,1.987168612,5.455226744,2.032123186,I型
3.274675083,0.323737277,2.992439695,0.144430009,1348.724098,13868.78149,11688.59918,0.883980214,6.893345115,6.219817347,6.341755041,6.942106216,7.910546994,5.631132417,8.751960024,7.040427882,3.873423608,6.709998683,2.783589638,5.856530131,2.859962036,4.966290339,1.955356304,5.425213668,2.063172908,I型
1.460054341,0.222774363,2.992163515,0.058181107,2792.184382,19437.52668,14580.29506,0.339246361,9.135989613,6.084445736,7.164091537,6.862026407,7.885043908,5.760569812,9.045653093,7.582773529,3.57505828,7.437571575,3.666800029,6.804795428,3.770952395,5.799985639,2.750413004,6.152878857,2.641567951,I型
2.267698476,0.207263925,5.106385693,0.047066449,1856.338398,20680.93927,16030.04218,0.359083863,8.599283307,5.973294563,6.996110975,6.894099904,7.951577567,5.849460293,9.149893043,7.70738293,3.488320863,7.563848441,3.70048137,6.772015923,3.716832435,5.680895436,2.492859628,5.744660579,2.227271474,I型
2.53674634,0.222239178,5.15103525,0.063719936,1481.592882,17174.56398,13458.54126,0.486402154,8.549040544,6.052498367,6.771834981,6.780728602,7.798876068,5.670784287,8.966760542,7.506404217,3.584112601,7.347066139,3.462671096,6.536475231,3.483561703,5.443733072,2.25324082,5.519172416,1.992692365,I型
0.269776935,0.127412935,2.861159292,0.004914453,6574.869982,24856.95316,11945.03834,0.021383136,8.019228973,4.360163108,8.203932913,6.029823505,7.373319823,5.423364103,8.772176361,8.044057471,1.717127686,8.249232337,4.786942879,7.975627453,4.911092808,6.858212299,3.708000343,7.009309438,3.409534559,S型
0.338296648,0.182915957,2.151549266,0.003075362,9350.327394,30775.06386,15359.31178,0.013430453,8.094103451,4.066850102,8.375697771,6.608307777,7.867742364,5.767294423,8.9890671,8.158066918,1.340259985,8.316350174,4.91113326,8.174433521,5.155897856,7.162778886,4.047249396,7.361465993,3.724615606,S型
0.189137263,0.13495954,1.791428437,0.007491982,8730.565059,22933.35829,10650.38234,0.017920004,7.791520693,4.091192075,8.11164682,5.958276354,7.302120552,5.33674963,8.643087446,7.927333197,1.990198412,8.064594049,4.673283561,7.9223189,4.925585815,6.98045733,3.915943798,7.292884729,3.729517576,S型
0.217415289,0.126341861,2.529084892,0.010854251,7167.686129,23916.79141,10722.79554,0.019748651,7.772967285,4.28711477,8.210401938,5.900365438,7.183113123,5.262641658,8.651160143,8.005175684,2.471501596,8.212191065,4.866349657,8.054408331,4.94693894,6.897671136,3.753192338,7.095637522,3.452374718,S型
0.28701334,0.128561768,2.927280895,0.003101303,8784.457441,34761.61172,16511.2557,0.010750978,7.916179095,4.048196711,8.579572372,6.381485907,7.70658114,5.732645288,9.114862555,8.320018578,1.550383823,8.561808574,5.109146146,8.317161021,5.29937958,7.295168074,4.062726919,7.299038595,3.599124809,S型
0.260210677,0.132851234,2.769413027,0.035560244,9835.358788,36441.91551,16630.49714,0.00565541,8.99008675,3.509797761,8.683557499,6.39644878,7.650250051,5.696752364,9.097004937,8.401791177,4.059851947,8.61936997,5.206088091,8.401823363,5.371009236,7.34205166,4.144605692,7.412038567,3.73682577,S型
0.241934363,0.137172299,2.249335463,0.003587711,9565.896906,30630.24889,15068.46636,0.005308417,8.592048406,3.104332653,8.341411346,6.295844081,7.748407654,5.716489847,8.964392409,8.270585121,1.586031162,8.383589835,5.008432171,8.194389837,5.103099671,7.081974854,3.993855931,7.384259003,3.642728446,S型
0.212470857,0.110207002,2.51602601,0.018281894,5227.560562,17380.62335,8338.982677,0.046804061,5.710526307,4.759997283,7.820399681,5.561722826,6.932888612,5.077238435,8.449148516,7.655399481,2.657028283,7.891376058,4.320569018,7.588436966,4.546040852,6.548620117,3.48546488,6.779999372,3.212970646,S型
0.221209746,0.109282397,2.584785491,0.027271325,4715.582981,16978.58275,8144.149451,0.067627481,8.95571944,5.112041397,7.80439934,5.498957131,7.031362726,5.020080021,8.394807921,7.639651125,3.012369005,7.815265719,4.291155133,7.641338624,4.576079361,6.569497702,3.412992231,6.676927187,3.048521213,S型
0.455780667,0.17081521,2.993960029,0.030987508,4985.044865,22014.68421,11749.7954,0.030482458,10.26088826,4.471630513,7.960851517,6.277427354,7.59618283,5.526976367,8.726631149,7.881039913,3.363420691,8.017789983,4.616125147,7.835045503,4.565822861,6.465055039,3.359288052,6.732497038,2.962826492,S型
0.326812567,0.484607736,0.760539562,0.024879201,4742.529169,8225.594127,3528.917197,0.022042265,10.13736696,3.646906975,7.460317579,5.894930642,6.79779983,4.396361347,7.301376991,6.492248672,1.740737552,6.59759407,3.456888237,6.809192568,3.679991336,5.876350521,3.083034675,6.682625208,3.062909951,S型
