(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
4.193310212,0.237661195,6.587893124,0.113342807,902.4727618,15372.31385,12787.07544,1.103913199,647.8333333,600.5287802,544,896.8905348,2597.88958,295.3333333,7468.023256,1477.651768,51.2869643,1221.778488,21.41666667,459.0696118,20.75833333,154.3687395,5.875,153.4203695,4.551209664,I型
6.10958786,0.398240523,4.233288077,0.179732819,549.3654172,8659.540467,7591.779729,1.734973501,392.4375,427.2372245,246.25,795.4659193,1998.586772,186.25,3952.761628,625.2918612,33.42354857,477.9153355,7.73125,162.5753012,7.75625,65.64266587,2.9625,93.39212093,3.535314649,I型
4.033084889,0.674290096,2.685375501,0.195816866,886.0685735,6814.988982,5397.386045,0.758739963,2502.590847,300.4393873,395.9714816,846.9407765,1376.566536,112.5799607,2485.597244,542.0702329,33.63129535,488.9722156,10.87349364,251.9462864,12.18300167,97.11945246,4.721866414,150.6316575,5.183480893,I型
3.49620439,0.658966216,2.34212601,0.181347679,1181.411741,8071.846133,6370.501059,0.622472141,2168.549964,288.5929814,463.6239314,978.9182891,1648.008026,135.9116424,2939.732338,631.6664733,36.26428973,568.6216169,12.7510102,306.3177056,15.10141966,121.2708988,6.056773007,200.839996,6.761723339,I型
2.000818206,0.584865467,1.804657052,0.20218022,1522.265966,7097.008829,5170.610001,0.604805633,5088.267575,334.7679416,553.5132667,721.849258,1255.274383,106.7901279,2442.390104,605.0136824,39.29244564,564.5430262,14.12846657,352.7857615,17.6309265,148.5192322,7.748975412,258.7852143,8.743958225,I型
4.85962124,0.461632429,3.31910125,0.072190534,2103.788209,24682.78721,20845.18767,0.120877576,1105.421053,125.9639775,1042.078947,2422.996486,5674.09479,508.9447368,10386.78091,1812.945472,39.42527808,1434.941988,29.06157895,651.4161911,33.04026316,264.7708232,12.02789474,357.6439955,12.61785508,I型
5.087376361,0.290094576,7.131238546,0.042781056,1347.309423,23666.62804,19602.29216,0.358532453,810,301.5257932,841,1624.462016,4048.615037,435,11081.39535,2381.587725,31.23203679,1974.440895,35.1,718.875502,31.4,219.5775067,8.36,229.0426019,6.539369675,I型
0.316243852,0.12716549,2.274992314,0.029467082,7571.878959,27412.43186,15452.02385,0.028685894,2908,98.44998789,3432,567.5107597,2304.126625,313,8831.395349,3402.268179,33.72293543,3539.936102,100,2493.975904,119,910.4433204,41.8,1287.219423,36.03326147,I型
7.622344413,0.690529538,4.303909134,0.118129702,1835.035434,24704.61673,21348.59218,0.433672465,2027,314.8462097,726,3314.983485,6655.737705,514,9500,1307.538359,56.33263077,1623.003195,19.5,429.7188755,23.7,200.2380244,10,311.9560238,11.90842829,I型
2.311335626,0.26885933,4.196080344,0.074120388,2667.672658,25217.00734,19124.07941,0.034312634,3428,56.06684427,1634,1461.315184,3914.075749,432,10755.81395,2501.667779,59.20674459,2300.319489,49.5,1148.594378,55.3,422.4933056,17,453.5043518,12.21640489,I型
